Horodateur	Votre université :	Votre classement :	Note à l'UC1 : (avec une virgule et pas un point)	UC1/20	Note à l'UC2 : (avec une virgule et pas un point)	UC2/20	Note à l'UC3 : (avec une virgule et pas un point)	UC3/20	Note à la LCA : (avec une virgule et pas un point)	LCA/20	Votre classement au concours blancs (après l'ensemble des UC d'avril) ?	Note total
30/06/2023 12:53	Poitiers	253	85	17,89	80,18	16,88	79,07	16,65	36	13,85	401	280,25
30/06/2023 12:54	Poitiers	277	83,9	17,66	82,88	17,45	78	16,42	35,2	13,54	400	279,98
30/06/2023 12:54	Dijon	234	83,6	17,6	84,23	17,73	79,43	16,72	33,6	12,92	867	280,86
30/06/2023 12:54	Marseille	3151	74,3	15,64	77,65	16,35	75,47	15,89	28,8	11,08	2221	256,22
30/06/2023 12:55	Clermont-Ferrand	4490	70,25	14,79	76,18	16,04	71,75	15,11	30,6	11,77	1690	248,78
30/06/2023 12:56	Paris	4649	72,2	15,2	69,73	14,68	75,47	15,89	30,2	11,62	2855	247,6
30/06/2023 12:56	Paris	1048	78,25	16,47	76,57	16,12	83,73	17,63	31,6	12,15	2606	270,15
30/06/2023 12:56	Nantes	300	80,35	16,92	83,17	17,51	82,83	17,44	33,4	12,85	251	279,75
30/06/2023 12:56	Rennes	3700	77,8	16,38	71,88	15,13	71,7	15,09	31,8	12,23	3900	253,18
30/06/2023 12:56	Nancy	2971	69,1	14,55	76,2	16,04	80,52	16,95	31,6	12,15	541	257,42
30/06/2023 12:56	Besançon	4138	76,9	16,19	74	15,58	69,53	14,64	30,2	11,62	5802	250,63
30/06/2023 12:56	Lille	171	85	17,89	84,63	17,82	80,93	17,04	31,8	12,23	150	282,36
30/06/2023 12:56	Tours	524	81,9	17,24	79,55	16,75	73,4	15,45	41,2	15,85	233	276,05
30/06/2023 12:57	PARIS	149	81,6	17,18	84,12	17,71	82,3	17,33	35,2	13,54	75	283,22
30/06/2023 12:58	Brest	7797	58,4	12,29	66,37	13,97	67,2	14,15	30	11,54	7667	221,97
30/06/2023 12:58	Paris	127	82,75	17,42	80,63	16,97	80,83	17,02	39,8	15,31	239	284,01
30/06/2023 12:58	Lille	4449	73,75	15,53	75,63	15,92	69,8	14,69	29,8	11,46	1700	248,98
30/06/2023 12:58	Paris	2071	81,05	17,06	79,53	16,74	78,35	16,49	23,8	9,15	2700	262,73
30/06/2023 12:59	Paris	5055	69,8	14,69	76,98	16,21	70,63	14,87	27,6	10,62	2637	245,01
30/06/2023 13:00	Paris ouest	1757	78,15	16,45	73,72	15,52	75,83	15,96	37,2	14,31	1700	264,9
30/06/2023 13:01	Strasbourg	483	79,65	16,77	81,13	17,08	79,87	16,81	35,8	13,77	890	276,45
30/06/2023 13:01	Grenoble	266	83,95	17,67	86,05	18,12	76,72	16,15	33,4	12,85	1039	280,12
30/06/2023 13:01	Tours	3610	75,65	15,93	74,25	15,63	73,22	15,41	30,6	11,77	3295	253,72
30/06/2023 13:01	Toulouse	2623	73,55	15,48	77,38	16,29	78,87	16,6	29,6	11,38	845	259,4
30/06/2023 13:01	Nancy	1604	82	17,26	77,85	16,39	77,23	16,26	28,8	11,08	2900	265,88
30/06/2023 13:01	Aulnay-sous-Bois	7941	68,9	14,51	67,55	14,22	60,97	12,84	22,6	8,69	8400	220,02
30/06/2023 13:02	Lyon	5469	75,25	15,84	72,32	15,23	67,82	14,28	27	10,38	4536	242,39
30/06/2023 13:02	Nice	9348	47,63	10,03	53,6	11,28	54,08	11,39	27	10,38	9182	182,31
30/06/2023 13:02	Caen	8768	58,3	12,27	61,37	12,92	61,92	13,04	23	8,85	7034	204,59
30/06/2023 13:02	Paris	2508	74,2	15,62	74,82	15,75	76,68	16,14	34,4	13,23	2200	260,1
